Country,Happiness score,GDP,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
Afghanistan,3.203,0.350,0.517,0.361,0.000,0.158,0.025,Asia
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe
Algeria,5.211,1.002,1.160,0.785,0.086,0.073,0.114,Africa
Andorra,,,,,,,,Europe
Angola,,,,,,,,Africa
Antigua and Barbuda,,,,,,,,North America
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.050,South America
Armenia,4.559,0.850,1.055,0.815,0.283,0.095,0.064,Asia
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.290,Oceania
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Europe
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Asia
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.110,Asia
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia
Barbados,,,,,,,,North America
Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe
Belgium,6.923,1.356,1.504,0.986,0.473,0.160,0.210,Europe
Belize,,,,,,,,North America
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa
Bhutan,5.082,0.813,1.321,0.604,0.457,0.370,0.167,Asia
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.100,Africa
Brazil,6.300,1.004,1.439,0.802,0.390,0.099,0.086,South America
Brunei,,,,,,,,Asia
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe
Burkina Faso,4.587,0.331,1.056,0.380,0.255,0.177,0.113,Africa
Burundi,3.775,0.046,0.447,0.380,0.220,0.176,0.180,Africa
Cambodia,4.700,0.574,1.122,0.637,0.609,0.232,0.062,Asia
Cameroon,5.044,0.549,0.910,0.331,0.381,0.187,0.037,Africa
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America
Cape Verde,,,,,,,,Africa
Central African Republic,3.083,0.026,0.000,0.105,0.225,0.235,0.035,Africa
Chad,4.350,0.350,0.766,0.192,0.174,0.198,0.078,Africa
Chile,6.444,1.159,1.369,0.920,0.357,0.187,0.056,South America
China,5.191,1.029,1.125,0.893,0.521,0.058,0.100,Asia
Colombia,6.125,0.985,1.410,0.841,0.470,0.099,0.034,South America
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa
Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,
Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,
Cook Islands,,,,,,,,Oceania
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,North America
Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe
Cuba,,,,,,,,North America
Cyprus,6.046,1.263,1.223,1.042,0.406,0.190,0.041,Europe
Czech Republic,6.852,1.269,1.487,0.920,0.457,0.046,0.036,Europe
Democratic Republic of the Congo,,,,,,,,Africa
Denmark,7.600,1.383,1.573,0.996,0.592,0.252,0.410,Europe
Djibouti,,,,,,,,Africa
Dominica,,,,,,,,North America
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa
El Salvador,6.253,0.794,1.242,0.789,0.430,0.093,0.074,North America
Equatorial Guinea,,,,,,,,Africa
Eritrea,,,,,,,,Africa
Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe
Eswatini,4.212,0.811,1.149,0.000,0.313,0.074,0.135,Africa
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.100,Africa
Federated States of Micronesia,,,,,,,,Oceania
Fiji,,,,,,,,Oceania
